DATE,PRIX,HIPPODROME,ARRIVEE
01/09/2010,PRIX DE L'ORANGERIE,Paris-Longchamp,2 - 6 - 7 - 14 - 13
02/09/2010,PRIX JEAN BART,Auteuil,16 - 15 - 18 - 17 - 13
03/09/2010,PRIX LUCRETIA,Vincennes,2 - 1 - 14 - 13 - 7
04/09/2010,CRITERIUM DES 5 ANS,Vincennes,17 - 13 - 2 - 14 - 8
05/09/2010,PRIX DE LA LIGUE FRANCAISE DE PROTECTION DU CHEVAL,Paris-Longchamp,16 - 11 - 8 - 6 - 3
06/09/2010,GRAND HANDICAP DE CRAON,Craon,9 - 8 - 16 - 15 - 14
07/09/2010,PRIX DE L'EST REPUBLICAIN,Nancy,3 - 6 - 12 - 10 - 4
08/09/2010,GRAND NATIONAL DU TROT,Marseille,14 - 6 - 12 - 4 - 15
09/09/2010,PRIX MAJOR FRIDOLIN,Paris-Longchamp,16 - 1 - 12 - 10 - 15
10/09/2010,PRIX ADELINDA,Vincennes,9 - 11 - 7 - 8 - 4
11/09/2010,PRIX D'ETE,Vincennes,2 - 7 - 3 - 10 - 11
12/09/2010,PRIX DE LA MUETTE,Paris-Longchamp,3 - 5 - 13 - 11 - 10
13/09/2010,PRIX DE L'ECOUTE S'IL PLEUT,Maisons-laffitte,2 - 3 - 11 - 6 - 12
14/09/2010,PRIX DE SAINT-PAIR DU MONT,Saint-cloud,10 - 9 - 16 - 7 - 12
15/09/2010,PRIX ALAIN ET GILLES DE GOULAINE,Auteuil,11 - 2 - 1 - 12 - 18
16/09/2010,GRAND HANDICAP DU LION D'ANGERS,Lion D'angers,12 - 8 - 13 - 11 - 1
17/09/2010,PRIX OPHELIA,Vincennes,15 - 9 - 7 - 10 - 8
18/09/2010,PRIX DE LA TABLE,Paris-Longchamp,8 - 18 - 10 - 17 - 2
19/09/2010,PRIX DE NORMANDIE,Vincennes,14 - 7 - 9 - 11 - 6
20/09/2010,PRIX DE LA ROCHE POSAY,Vincennes,11 - 12 - 16 - 1 - 4
21/09/2010,PRIX DES BOUCLES DE LA SEINE,Maisons-laffitte,11 - 7 - 16 - 2 - 5
22/09/2010,PRIX DU JOURNAL LA VOIX DU NORD,Le Croisé-laroche,2 - 3 - 6 - 13 - 7
23/09/2010,PRIX BERNARD LE QUELLEC,Vincennes,8 - 14 - 15 - 2 - 12
24/09/2010,PRIX CLEOMEDE,Vincennes,11 - 6 - 12 - 15 - 9
25/09/2010,PRIX VIOLON II,Auteuil,6 - 16 - 10 - 2 - 8
26/09/2010,PRIX D'ANCENIS,Vincennes,10 - 4 - 16 - 15 - 1
27/09/2010,PRIX DU CHENE DE CRAON,Craon,9 - 4 - 7 - 15 - 10
28/09/2010,PRIX DE BEAUNE,Enghien,8 - 16 - 1 - 14 - 12
29/09/2010,GRAND NATIONAL DU TROT,Le Mont Saint-michel,12 - 2 - 17 - 6 - 18
30/09/2010,PRIX CALABRAIS,Auteuil,14 - 6 - 4 - 1 - 13
01/10/2010,PRIX AUSTRIA,Vincennes,7 - 8 - 16 - 5 - 18
02/10/2010,PRIX QATAR RACING ET EQUESTRIAN CLUB,Paris-Longchamp,6 - 13 - 7 - 1 - 15
03/10/2010,QATAR PRIX DE L'ARC DE TRIOMPHE,Paris-Longchamp,13 - 7 - 20 - 14 - 3
04/10/2010,PRIX DE SAINT-CHAMOND,Enghien,15 - 1 - 5 - 2 - 6
05/10/2010,PRIX GUILLAUME DE PRACOMTAL,Auteuil,9 - 7 - 1 - 2 - 6
06/10/2010,GRAND PRIX ANJOU-MAINE,Meslay-du-maine,6 - 10 - 7 - 3 - 12
07/10/2010,PRIX DU VAL D'OISE,Saint-cloud,5 - 16 - 7 - 11 - 18
08/10/2010,PRIX ATROPOS,Vincennes,15 - 9 - 5 - 16 - 13
09/10/2010,PRIX DU REY,Maisons-laffitte,12 - 11 - 3 - 4 - 13
10/10/2010,PRIX ANDRE ADELE,Auteuil,15 - 14 - 9 - 11 - 10
11/10/2010,PRIX DE LA VILLE DE FEURS,Feurs,3 - 8 - 12 - 9 - 5
12/10/2010,PRIX DU NABOB,Paris-Longchamp,7 - 5 - 4 - 1 - 13
13/10/2010,PRIX DE LA VALLEE DE CHEVREUSE,Maisons-laffitte,10 - 3 - 11 - 15 - 14
14/10/2010,PRIX BIRABEN,Bordeaux,11 - 12 - 6 - 3 - 5
15/10/2010,PRIX HERA,Vincennes,8 - 1 - 5 - 6 - 3
16/10/2010,PRIX PRINCE D'ECOUEN,Auteuil,8 - 6 - 3 - 14 - 12
